NWCG_REPORTING_UNIT_NAME,DISCOVERY_TIME,STAT_CAUSE_DESCR,STATE,temperature(C),date
Mendocino Unit,1631,Miscellaneous,CA,11.6625,7/3/2014
Eldorado National Forest,1430,Equipment Use,CA,25.490534,7/3/2014
Ely District Office,1445,Lightning,NV,30.428278,7/3/2014
Ely District Office,1444,Lightning,NV,30.428278,7/3/2014
Butte Unit,1618,Arson,CA,31.857813,7/3/2014
Nebraska Department of Forestry,1835,Miscellaneous,NE,24.318567,7/3/2014
Utah Division Forestry Fire State Lands,1604,Fireworks,UT,29.274378,7/3/2014
Fire Department of New York,1839,Miscellaneous,NY,25.804651,7/3/2014
Fire Department of New York,1942,Miscellaneous,NY,25.804651,7/3/2014
Siskiyou Unit,1554,Miscellaneous,CA,27.184504,7/3/2014
New Jersey Forest Fire Service,1900,Lightning,NJ,25.623255,7/3/2014
Siskiyou Unit,1648,Missing/Undefined,CA,24.178034,7/3/2014
Modoc National Forest,1539,Railroad,CA,25.717737,7/3/2014
Modoc National Forest,1609,Railroad,CA,25.717737,7/3/2014
Oregon Department of Forestry State Headquarters,1600,Miscellaneous,OR,24.310297,7/3/2014
Fremont-Winema National Forest,1626,Lightning,OR,23.920862,7/3/2014
Pine Ridge Agency,1744,Fireworks,SD,27.076471,7/3/2014
Fire Department of New York,1711,Miscellaneous,NY,18.889063,7/3/2014
Fire Department of New York,1752,Miscellaneous,NY,20.842188,7/3/2014
Lakeview District,1529,Lightning,OR,26.981379,7/3/2014
Willamette National Forest,1500,Campfire,OR,13.904047,7/3/2014
Malheur National Forest,1544,Lightning,OR,23.420862,7/3/2014
Bighorn National Forest,1737,Miscellaneous,WY,28.639612,7/3/2014
Prineville District,1522,Lightning,OR,24.777735,7/3/2014
Prineville District,1612,Lightning,OR,24.777735,7/3/2014
Prineville District,1437,Lightning,OR,21.32461,7/3/2014
Cheyenne River Agency,1759,Fireworks,SD,25.966547,7/3/2014
Nez Perce - Clearwater National Forests,1600,Lightning,ID,21.045862,7/3/2014
Nez Perce - Clearwater National Forests,1615,Lightning,ID,21.045862,7/3/2014
Spokane District,1627,Missing/Undefined,WA,17.691797,7/3/2014
Washington State Headquarters,1530,Fireworks,WA,15.451563,7/3/2014
Lolo National Forest,1527,Miscellaneous,MT,23.200129,7/3/2014
Quinault Nations Tribe,1635,Campfire,WA,12.412317,7/3/2014
Fort Peck Agency,1605,Fireworks,MT,27.458735,7/3/2014
Northwestern Land Office,1703,Lightning,MT,23.271784,7/3/2014
Northwestern Land Office,1709,Lightning,MT,21.864191,7/3/2014
Colville National Forest,1414,Campfire,WA,23.896784,7/3/2014
Washington State Headquarters,1400,Fireworks,WA,23.896784,7/3/2014
Louisiana Office of Forestry,1900,Structure,LA,18.169733,3/30/2014
Texas A & M Forest Service,2015,Lightning,TX,18.888483,3/30/2014
Arizona State Forestry Division - State Office,1900,Missing/Undefined,AZ,26.737085,3/30/2014
Arizona State Forestry Division - State Office,1844,Missing/Undefined,AZ,26.737085,3/30/2014
Monte Vista Unit,1733,Debris Burning,CA,17.63656,3/30/2014
Orange County Fire Department,1728,Arson,CA,16.48614,3/30/2014
Osage Agency,2112,Arson,OK,15.902185,3/30/2014
Missouri Department of Conservation,2012,Arson,MO,10.51156,3/30/2014
Mendocino National Forest,1903,Lightning,CA,3.2240233,3/30/2014
Illinois Division of Forestry Resources,2003,Debris Burning,IL,6.812341,3/30/2014
Missouri Department of Conservation,2005,Smoking,MO,10.41781,3/30/2014
Arizona State Forestry Division - State Office,119,Missing/Undefined,AZ,24.328333,3/30/2014
Rosebud Agency,230,Equipment Use,SD,12.265345,3/30/2014
Utah Division Forestry Fire State Lands,311,Miscellaneous,UT,10.060022,3/30/2014
Laguna Cartagena National Wildlife Refuge,1400,Arson,PR,23.631159,3/30/2014
Georgia Forestry Commission,1003,Debris Burning,GA,6.4319396,3/30/2014
Georgia Forestry Commission,1340,Debris Burning,GA,10.882441,3/30/2014
Coronado National Forest,1045,Campfire,AZ,15.850336,3/30/2014
South Carolina Forestry Commission,1254,Arson,SC,10.421503,3/30/2014
Texas A & M Forest Service,1034,Campfire,TX,12.104853,3/30/2014
South Carolina Forestry Commission,1323,Powerline,SC,7.4056334,3/30/2014
Apache-Sitgreaves National Forest,1115,Campfire,AZ,11.444239,3/30/2014
South Carolina Forestry Commission,1136,Powerline,SC,7.460321,3/30/2014
Oklahoma Division of Forestry,1215,Debris Burning,OK,10.905634,3/30/2014
Okmulgee Field Office,1252,Debris Burning,OK,12.288446,3/30/2014
Oklahoma Division of Forestry,1145,Miscellaneous,OK,10.120478,3/30/2014
Missouri Department of Conservation,1250,Equipment Use,MO,4.9957213,3/30/2014
Osage Agency,1230,Debris Burning,OK,10.862665,3/30/2014
Missouri Department of Conservation,1206,Miscellaneous,MO,6.364618,3/30/2014
Missouri Department of Conservation,1110,Debris Burning,MO,7.589227,3/30/2014
Missouri Department of Conservation,1000,Arson,MO,7.991571,3/30/2014
Missouri Department of Conservation,1250,Debris Burning,MO,7.991571,3/30/2014
Missouri Department of Conservation,1044,Debris Burning,MO,6.2630553,3/30/2014
Missouri Department of Conservation,1109,Debris Burning,MO,6.8939147,3/30/2014
Osage County,1115,Missing/Undefined,KS,10.41305,3/30/2014
Horton Agency,1121,Debris Burning,KS,8.456415,3/30/2014
Illinois Division of Forestry Resources,1235,Debris Burning,IL,4.7943053,3/30/2014
Nebraska Department of Forestry,1030,Debris Burning,NE,8.43844,3/30/2014
Illinois Division of Forestry Resources,1129,Debris Burning,IL,2.866571,3/30/2014
Illinois Division of Forestry Resources,1119,Debris Burning,IL,2.866571,3/30/2014
Nebraska Department of Forestry,1000,Debris Burning,NE,7.3388305,3/30/2014
Wyoming State Forestry,1103,Debris Burning,WY,6.7291503,3/30/2014
Pine Ridge Agency,1225,Children,SD,7.2117248,3/30/2014
Rosebud Agency,1052,Powerline,SD,6.136621,3/30/2014
Rosebud Agency,1052,Powerline,SD,6.136621,3/30/2014
Rosebud Agency,1052,Powerline,SD,6.136621,3/30/2014
Florida Forest Service,1400,Arson,FL,22.09228,3/30/2014
Florida Forest Service,1618,Equipment Use,FL,22.09228,3/30/2014
Florida Forest Service,1428,Lightning,FL,19.646967,3/30/2014
Florida Forest Service,1658,Arson,FL,21.264154,3/30/2014
Florida Forest Service,1600,Miscellaneous,FL,14.861811,3/30/2014
Mississippi Forestry Commission,1305,Miscellaneous,MS,16.475092,3/30/2014
Georgia Forestry Commission,1450,Debris Burning,GA,15.182123,3/30/2014
Mississippi Forestry Commission,1449,Campfire,MS,16.146967,3/30/2014
Mississippi Forestry Commission,1533,Debris Burning,MS,16.451654,3/30/2014
Georgia Forestry Commission,1542,Debris Burning,GA,14.807123,3/30/2014
Georgia Forestry Commission,1511,Debris Burning,GA,14.486811,3/30/2014
Texas A & M Forest Service,1401,Lightning,TX,18.943842,3/30/2014
Texas A & M Forest Service,1401,Debris Burning,TX,18.943842,3/30/2014
Georgia Forestry Commission,1554,Debris Burning,GA,14.307123,3/30/2014
South Carolina Forestry Commission,1540,Equipment Use,SC,14.514154,3/30/2014
Louisiana Office of Forestry,1530,Debris Burning,LA,17.533686,3/30/2014
Texas A & M Forest Service,1435,Miscellaneous,TX,19.670374,3/30/2014
National Forests And Grasslands In Texas,1427,Campfire,TX,21.123499,3/30/2014
Georgia Forestry Commission,1420,Debris Burning,GA,12.146936,3/30/2014
Oklahoma Division of Forestry,1410,Arson,OK,18.740717,3/30/2014
Oklahoma Division of Forestry,1305,Arson,OK,17.857904,3/30/2014
South Carolina Forestry Commission,1405,Powerline,SC,10.51803,3/30/2014
South Carolina Forestry Commission,1643,Debris Burning,SC,9.342249,3/30/2014
South Carolina Forestry Commission,1555,Powerline,SC,9.803186,3/30/2014
South Carolina Forestry Commission,1631,Debris Burning,SC,12.498499,3/30/2014
Georgia Forestry Commission,1641,Debris Burning,GA,12.275843,3/30/2014
Georgia Forestry Commission,1643,Arson,GA,12.275843,3/30/2014
Oklahoma Division of Forestry,1420,Arson,OK,15.607874,3/30/2014
Oklahoma Division of Forestry,1342,Debris Burning,OK,16.998499,3/30/2014
Oklahoma Division of Forestry,1528,Arson,OK,17.490686,3/30/2014
Chickasaw Agency,1330,Debris Burning,OK,18.654749,3/30/2014
North Carolina Forest Service,1513,Children,NC,9.256311,3/30/2014
Okmulgee Field Office,1330,Debris Burning,OK,18.342249,3/30/2014
Coconino National Forest,1334,Miscellaneous,AZ,11.867792,3/30/2014
National Forests in North Carolina,1600,Powerline,NC,5.6960692,3/30/2014
North Carolina Forest Service,1634,Miscellaneous,NC,6.5710692,3/30/2014
Lake Meredith National Recreation Area,1420,Miscellaneous,TX,22.31759,3/30/2014
North Carolina Forest Service,1639,Smoking,NC,6.9084716,3/30/2014
North Carolina Forest Service,1534,Miscellaneous,NC,6.0320067,3/30/2014
Concho Field Office,1330,Debris Burning,OK,17.97146,3/30/2014
Oklahoma Division of Forestry,1300,Missing/Undefined,OK,19.381311,3/30/2014
Arkansas Forestry Commission,1440,Debris Burning,AR,12.670374,3/30/2014
Arkansas Forestry Commission,1500,Debris Burning,AR,14.275843,3/30/2014
Missouri Department of Conservation,1304,Miscellaneous,MO,14.590113,3/30/2014
Missouri Department of Conservation,1455,Miscellaneous,MO,14.590113,3/30/2014
Missouri Department of Conservation,1331,Miscellaneous,MO,12.785425,3/30/2014
Mark Twain National Forest,1402,Miscellaneous,MO,14.228968,3/30/2014
Missouri Department of Conservation,1517,Miscellaneous,MO,15.475061,3/30/2014
Missouri Department of Conservation,1520,Debris Burning,MO,16.810999,3/30/2014
Missouri Department of Conservation,1304,Miscellaneous,MO,12.982874,3/30/2014
Missouri Department of Conservation,1417,Miscellaneous,MO,15.475061,3/30/2014
Missouri Department of Conservation,1400,Debris Burning,MO,15.475061,3/30/2014
Missouri Department of Conservation,1514,Debris Burning,MO,12.314905,3/30/2014
Missouri Department of Conservation,1518,Miscellaneous,MO,14.818811,3/30/2014
Illinois Division of Forestry Resources,1557,Miscellaneous,IL,8.369593,3/30/2014
West Virginia Division of Forestry,1414,Powerline,WV,6.5805297,3/30/2014
Pottawatomie County,1350,Missing/Undefined,KS,17.414331,3/30/2014
Horton Agency,1336,Debris Burning,KS,16.937769,3/30/2014
Missouri Department of Conservation,1549,Debris Burning,MO,13.89303,3/30/2014
Nebraska Department of Forestry,1344,Equipment Use,NE,19.539331,3/30/2014
Missouri Department of Conservation,1358,Debris Burning,MO,15.054956,3/30/2014
Nebraska Department of Forestry,1358,Debris Burning,NE,17.265894,3/30/2014
Nebraska Department of Forestry,1534,Miscellaneous,NE,17.172144,3/30/2014
Illinois Division of Forestry Resources,1431,Debris Burning,IL,7.9555297,3/30/2014
Wisconsin Department of Natural Resources,1444,Debris Burning,WI,8.8323,3/30/2014
Pine Ridge Agency,1500,Debris Burning,SD,12.094934,3/30/2014
Wisconsin Department of Natural Resources,1331,Miscellaneous,WI,8.803186,3/30/2014
Wisconsin Department of Natural Resources,1429,Children,WI,7.3166747,3/30/2014
Lower Brule Agency,1400,Equipment Use,SD,11.479273,3/30/2014
Lower Brule Agency,1315,Arson,SD,11.479273,3/30/2014
Standing Rock Agency,1430,Arson,ND,11.338648,3/30/2014
Fort Totten Agency,1330,Arson,ND,7.6076903,3/30/2014
Florida Forest Service,1830,Lightning,FL,21.642298,3/30/2014
Florida Forest Service,1750,Lightning,FL,21.571985,3/30/2014
Mississippi Forestry Commission,1700,Campfire,MS,19.11886,3/30/2014
Georgia Forestry Commission,1830,Debris Burning,GA,14.587,3/30/2014
Texas A & M Forest Service,1736,Debris Burning,TX,18.860437,3/30/2014
South Carolina Forestry Commission,1819,Debris Burning,SC,15.052454,3/30/2014
South Carolina Forestry Commission,1717,Arson,SC,14.521204,3/30/2014
Texas A & M Forest Service,1600,Debris Burning,TX,19.235437,3/30/2014
Georgia Forestry Commission,1815,Arson,GA,14.74325,3/30/2014
South Carolina Forestry Commission,1850,Arson,SC,13.251062,3/30/2014
Arkansas Forestry Commission,1848,Debris Burning,AR,16.696375,3/30/2014
Ouachita National Forest,1617,Arson,AR,17.49325,3/30/2014
Ouachita National Forest,1730,Campfire,AR,17.49325,3/30/2014
New Mexico - State Forestry,1530,Debris Burning,NM,22.006678,3/30/2014
Wichita Mountains National Wildlife Refuge,1830,Arson,OK,24.420832,3/30/2014
North Carolina Forest Service,1815,Debris Burning,NC,10.516687,3/30/2014
North Carolina Forest Service,1854,Miscellaneous,NC,10.273157,3/30/2014
Talihina Agency,1610,Debris Burning,OK,19.657312,3/30/2014
Arkansas Forestry Commission,1818,Arson,AR,15.896204,3/30/2014
Arkansas Forestry Commission,1604,Debris Burning,AR,18.758875,3/30/2014
North Carolina Forest Service,1826,Arson,NC,9.6513,3/30/2014
Oklahoma Division of Forestry,1836,Arson,OK,19.633875,3/30/2014
Tennessee Division of Forestry,1745,Miscellaneous,TN,13.30575,3/30/2014
Texas A & M Forest Service,1829,Miscellaneous,TX,23.51571,3/30/2014
North Carolina Forest Service,1738,Miscellaneous,NC,8.772394,3/30/2014
Osage Agency,1600,Debris Burning,OK,20.641687,3/30/2014
North Carolina Forest Service,1817,Miscellaneous,NC,8.772394,3/30/2014
Missouri Department of Conservation,1633,Debris Burning,MO,19.938562,3/30/2014
Missouri Department of Conservation,1756,Debris Burning,MO,16.88177,3/30/2014
Missouri Department of Conservation,1600,Arson,MO,15.626062,3/30/2014
Missouri Department of Conservation,1600,Arson,MO,15.626062,3/30/2014
Missouri Department of Conservation,1850,Debris Burning,MO,15.666925,3/30/2014
Mark Twain National Forest,1640,Miscellaneous,MO,16.485437,3/30/2014
Mark Twain National Forest,1817,Debris Burning,MO,16.485437,3/30/2014
Mark Twain National Forest,1654,Arson,MO,16.485437,3/30/2014
Missouri Department of Conservation,1850,Arson,MO,19.30575,3/30/2014
Missouri Department of Conservation,1800,Debris Burning,MO,19.571375,3/30/2014
Royal Gorge Field Office,1700,Campfire,CO,8.732691,3/30/2014
Illinois Division of Forestry Resources,1600,Debris Burning,IL,15.251062,3/30/2014
West Virginia Division of Forestry,1810,Powerline,WV,4.918878,3/30/2014
Illinois Division of Forestry Resources,1655,Debris Burning,IL,16.258875,3/30/2014
Missouri Department of Conservation,1606,Debris Burning,MO,18.85052,3/30/2014
Nebraska Department of Forestry,1835,Miscellaneous,NE,21.88177,3/30/2014
Illinois Division of Forestry Resources,1825,Miscellaneous,IL,12.126062,3/30/2014
Sac and Fox Agency,1801,Debris Burning,IA,17.2745,3/30/2014
Illinois Division of Forestry Resources,1647,Debris Burning,IL,11.251062,3/30/2014
Pine Ridge Agency,1833,Equipment Use,SD,21.15365,3/30/2014
Rosebud Agency,1717,Miscellaneous,SD,15.804773,3/30/2014
Rosebud Agency,1717,Debris Burning,SD,14.515711,3/30/2014
Cleveland National Forest,1730,Lightning,CA,33.74508,8/13/2014
Riverside Unit,1711,Missing/Undefined,CA,26.146875,8/13/2014
Mojave National Preserve,1715,Lightning,CA,28.389063,8/13/2014
Ely District Office,1711,Lightning,NV,23.50265,8/13/2014
Fire Department of New York,2010,Debris Burning,NY,21.169,8/13/2014
Utah Division Forestry Fire State Lands,1800,Lightning,UT,24.341639,8/13/2014
Klamath National Forest,1700,Lightning,CA,19.838007,8/13/2014
Klamath National Forest,1700,Lightning,CA,19.838007,8/13/2014
Klamath National Forest,1700,Lightning,CA,19.838007,8/13/2014
Klamath National Forest,1700,Lightning,CA,19.838007,8/13/2014
Klamath National Forest,1700,Lightning,CA,19.838007,8/13/2014
Utah Division Forestry Fire State Lands,2009,Lightning,UT,23.810389,8/13/2014
Modoc National Forest,1945,Lightning,CA,22.029139,8/13/2014
Nebraska Department of Forestry,2026,Railroad,NE,27.666132,8/13/2014
Lakeview District,1703,Lightning,OR,23.234735,8/13/2014
Fremont-Winema National Forest,1729,Lightning,OR,20.705194,8/13/2014
Oregon Department of Forestry State Headquarters,1918,Lightning,OR,21.416132,8/13/2014
Roseburg District,1900,Lightning,OR,21.18258,8/13/2014
Rogue River-Siskiyou National Forest,1709,Lightning,OR,21.416132,8/13/2014
Umpqua National Forest,1743,Lightning,OR,21.671625,8/13/2014
Roseburg District,1830,Lightning,OR,21.671625,8/13/2014
Oregon Department of Forestry State Headquarters,1900,Lightning,OR,21.671625,8/13/2014
Roseburg District,1900,Lightning,OR,21.671625,8/13/2014
Oregon Department of Forestry State Headquarters,1800,Lightning,OR,21.671625,8/13/2014
Roseburg District,1840,Lightning,OR,21.671625,8/13/2014
Umpqua National Forest,1711,Lightning,OR,21.416132,8/13/2014
Boise District,1820,Equipment Use,ID,27.009882,8/13/2014
Oregon Department of Forestry State Headquarters,1920,Lightning,OR,21.671625,8/13/2014
Willamette National Forest,1729,Lightning,OR,18.997889,8/13/2014
Deschutes National Forest,1721,Lightning,OR,18.997889,8/13/2014
Deschutes National Forest,1700,Lightning,OR,18.997889,8/13/2014
Deschutes National Forest,1809,Lightning,OR,22.078485,8/13/2014
Deschutes National Forest,1820,Lightning,OR,17.992548,8/13/2014
Boise National Forest,1856,Lightning,ID,19.2214,8/13/2014
Ochoco National Forest,1700,Lightning,OR,21.736444,8/13/2014
Boise National Forest,1900,Lightning,ID,19.2214,8/13/2014
Oregon Department of Forestry State Headquarters,1700,Lightning,OR,22.603632,8/13/2014
Payette National Forest,1807,Lightning,ID,20.951014,8/13/2014
Payette National Forest,1808,Lightning,ID,20.951014,8/13/2014
Payette National Forest,1800,Lightning,ID,18.768274,8/13/2014
Payette National Forest,1800,Lightning,ID,18.768274,8/13/2014
Payette National Forest,1819,Lightning,ID,18.768274,8/13/2014
Oregon Department of Forestry State Headquarters,1722,Lightning,OR,20.06286,8/13/2014
Salmon-Challis National Forest,1905,Lightning,ID,19.56515,8/13/2014
Oregon Department of Forestry State Headquarters,1710,Lightning,OR,22.81286,8/13/2014
Payette National Forest,1934,Lightning,ID,19.44015,8/13/2014
Payette National Forest,1926,Lightning,ID,19.44015,8/13/2014
Payette National Forest,1925,Lightning,ID,21.286951,8/13/2014
Nez Perce - Clearwater National Forests,1900,Lightning,ID,21.286951,8/13/2014
Nez Perce - Clearwater National Forests,1840,Lightning,ID,21.286951,8/13/2014
Umatilla National Forest,1713,Lightning,OR,22.494257,8/13/2014
Miles City Field Office,2030,Lightning,MT,32.10363,8/13/2014
Nez Perce - Clearwater National Forests,1830,Lightning,ID,21.286951,8/13/2014
Wallowa-Whitman National Forest,1700,Lightning,OR,25.619257,8/13/2014
Washington State Headquarters,1710,Lightning,WA,18.834375,8/13/2014
Washington State Headquarters,1854,Lightning,WA,18.834375,8/13/2014
Washington State Headquarters,1756,Lightning,WA,18.834375,8/13/2014
Nez Perce - Clearwater National Forests,1857,Lightning,ID,22.859735,8/13/2014
Yakama Agency,1823,Lightning,WA,18.834375,8/13/2014
Yakama Agency,1717,Lightning,WA,18.834375,8/13/2014
Central Land Office,1815,Lightning,MT,26.966639,8/13/2014
Idaho Department of Lands,1800,Lightning,ID,25.490625,8/13/2014
Idaho Department of Lands,1830,Lightning,ID,25.490625,8/13/2014
Central Land Office,1950,Lightning,MT,26.966639,8/13/2014
Central Land Office,2011,Lightning,MT,28.65661,8/13/2014
Nez Perce - Clearwater National Forests,1900,Lightning,ID,20.726923,8/13/2014
Idaho Department of Lands,1800,Lightning,ID,20.726923,8/13/2014
Spokane District,1734,Missing/Undefined,WA,24.58883,8/13/2014
Idaho Department of Lands,1900,Lightning,ID,22.400507,8/13/2014
Idaho Department of Lands,1800,Lightning,ID,22.400507,8/13/2014
Idaho Department of Lands,1800,Lightning,ID,22.400507,8/13/2014
Idaho Panhandle National Forest,1850,Lightning,ID,22.400507,8/13/2014
Okanogan/Wenatchee National Forest,1730,Lightning,WA,17.455194,8/13/2014
Okanogan/Wenatchee National Forest,1700,Lightning,WA,17.455194,8/13/2014
Okanogan/Wenatchee National Forest,1730,Lightning,WA,17.455194,8/13/2014
Okanogan/Wenatchee National Forest,1930,Lightning,WA,17.455194,8/13/2014
Washington State Headquarters,1700,Lightning,WA,27.226313,8/13/2014
Washington State Headquarters,1900,Lightning,WA,27.226313,8/13/2014
Olympic National Forest,1850,Lightning,WA,18.12008,8/13/2014
Washington State Headquarters,1900,Lightning,WA,27.226313,8/13/2014
Washington State Headquarters,1900,Lightning,WA,27.226313,8/13/2014
Washington State Headquarters,1900,Lightning,WA,27.226313,8/13/2014
Washington State Headquarters,1840,Powerline,WA,27.889063,8/13/2014
Washington State Headquarters,1900,Powerline,WA,27.889063,8/13/2014
Olympic National Park,1800,Lightning,WA,18.507563,8/13/2014
Washington State Headquarters,1840,Powerline,WA,27.889063,8/13/2014
Washington State Headquarters,1830,Miscellaneous,WA,29.060938,8/13/2014
Washington State Headquarters,1930,Powerline,WA,29.060938,8/13/2014
Spokane Agency,1829,Powerline,WA,29.060938,8/13/2014
Olympic National Park,1845,Lightning,WA,21.43258,8/13/2014
Colville Agency,1905,Powerline,WA,29.060938,8/13/2014
Colville Agency,1950,Lightning,WA,28.920313,8/13/2014
Colville Agency,1952,Lightning,WA,29.060938,8/13/2014
Arizona State Forestry Division - State Office,2210,Missing/Undefined,AZ,26.550684,8/13/2014
California Desert District,2000,Lightning,CA,23.090082,8/13/2014
Manti-Lasal National Forest,2107,Lightning,UT,21.520685,8/13/2014
Salmon-Challis National Forest,2150,Lightning,ID,23.047663,8/13/2014
Boise National Forest,2151,Lightning,ID,16.294123,8/13/2014
Willamette National Forest,2000,Campfire,OR,17.714228,8/13/2014
Warm Springs Agency,2021,Lightning,OR,19.300165,8/13/2014
Salmon-Challis National Forest,2330,Lightning,ID,16.407679,8/13/2014
Salmon-Challis National Forest,2153,Lightning,ID,17.364435,8/13/2014
Crow Agency,2200,Lightning,MT,31.136957,8/13/2014
Okanogan/Wenatchee National Forest,2105,Lightning,WA,16.05102,8/13/2014
Lolo National Forest,2205,Lightning,MT,19.399225,8/13/2014
Washington State Headquarters,2000,Lightning,WA,22.15954,8/13/2014
Flathead National Forest,2111,Lightning,MT,21.93844,8/13/2014
Washington State Headquarters,2130,Powerline,WA,22.996332,8/13/2014
Selawik National Wildlife Refuge,2130,Lightning,AK,21.511103,8/13/2014
Selawik National Wildlife Refuge,2130,Lightning,AK,21.511103,8/13/2014
Santa Clara Unit,101,Missing/Undefined,CA,14.032312,8/13/2014
Boise District,1,Equipment Use,ID,22.619287,8/13/2014
Alaska State Office,2220,Lightning,AK,19.819422,8/13/2014
Selawik National Wildlife Refuge,2200,Lightning,AK,19.819422,8/13/2014
Warm Springs Agency,252,Debris Burning,OR,16.577234,8/13/2014
Laguna Cartagena National Wildlife Refuge,1200,Missing/Undefined,PR,26.11297,8/13/2014
Apache-Sitgreaves National Forest,823,Lightning,AZ,15.329584,8/13/2014
Santa Fe National Forest,844,Lightning,NM,18.790522,8/13/2014
San Mateo-Santa Cruz Unit,650,Missing/Undefined,CA,13.146448,8/13/2014
Sierra National Forest,755,Campfire,CA,21.742579,8/13/2014
Tres Rios Field Office,656,Lightning,CO,19.298334,8/13/2014
Central California Agency,735,Equipment Use,CA,13.281641,8/13/2014
Northern California District,743,Lightning,NV,14.853022,8/13/2014
Six Rivers National Forest,714,Lightning,CA,11.216242,8/13/2014
Fremont-Winema National Forest,750,Lightning,OR,15.404139,8/13/2014
Payette National Forest,734,Lightning,ID,14.208826,8/13/2014
Payette National Forest,841,Lightning,ID,15.032709,8/13/2014
Salmon-Challis National Forest,803,Lightning,ID,12.673334,8/13/2014
Idaho Panhandle National Forest,749,Lightning,ID,15.859766,8/13/2014
Idaho Panhandle National Forest,825,Lightning,ID,16.211329,8/13/2014
San Bernardino National Forest,955,Campfire,CA,17.579615,8/13/2014
Coconino National Forest,1100,Lightning,AZ,15.048365,8/13/2014
Coconino National Forest,1002,Lightning,AZ,13.821283,8/13/2014
North Carolina Forest Service,1130,Debris Burning,NC,24.876307,8/13/2014
Tulare Unit,1008,Miscellaneous,CA,18.504328,8/13/2014
Nevada-Yuba-Placer Unit,1013,Miscellaneous,CA,17.016932,8/13/2014
White River National Forest,943,Powerline,CO,8.574884,8/13/2014
Crater Lake National Park,1048,Lightning,OR,13.277765,8/13/2014
Roseburg District,900,Lightning,OR,12.028833,8/13/2014
Lakeview District,1040,Lightning,OR,13.973078,8/13/2014
Pine Ridge Agency,1230,Miscellaneous,SD,21.955103,8/13/2014
Umpqua National Forest,849,Lightning,OR,11.82229,8/13/2014
Deschutes National Forest,905,Lightning,OR,12.315424,8/13/2014
Willamette National Forest,1015,Lightning,OR,12.182276,8/13/2014
Deschutes National Forest,900,Lightning,OR,12.315424,8/13/2014
Willamette National Forest,1000,Lightning,OR,12.182276,8/13/2014
Wyoming State Forestry,1038,Debris Burning,WY,25.112299,8/13/2014
Deschutes National Forest,930,Lightning,OR,12.315424,8/13/2014
Acadia National Park,1100,Campfire,ME,15.321619,8/13/2014
Boise National Forest,922,Lightning,ID,18.706049,8/13/2014
Wisconsin Department of Natural Resources,1130,Miscellaneous,WI,16.951258,8/13/2014
Bitterroot National Forest,1002,Lightning,MT,14.985865,8/13/2014
Nez Perce - Clearwater National Forests,1000,Lightning,ID,16.754328,8/13/2014
Maine Forest Service,1210,Equipment Use,ME,17.348475,8/13/2014
Nez Perce - Clearwater National Forests,1040,Lightning,ID,16.76214,8/13/2014
Nez Perce - Clearwater National Forests,1000,Lightning,ID,16.018549,8/13/2014
Flathead Agency,1030,Campfire,MT,16.269953,8/13/2014
Kootenai National Forest,1136,Lightning,MT,17.267603,8/13/2014
Florida Forest Service,1530,Lightning,FL,29.718836,8/13/2014
Merritt Island National Wildlife Refuge,1400,Lightning,FL,29.718836,8/13/2014
Georgia Forestry Commission,1549,Debris Burning,GA,28.643457,8/13/2014
Georgia Forestry Commission,1441,Debris Burning,GA,28.659082,8/13/2014
Georgia Forestry Commission,1522,Debris Burning,GA,28.377832,8/13/2014
North Carolina Forest Service,1600,Arson,NC,25.80752,8/13/2014
North Carolina Forest Service,1530,Arson,NC,26.875086,8/13/2014
North Carolina Forest Service,1515,Debris Burning,NC,27.406336,8/13/2014
San Benito-Monterey Unit,1241,Miscellaneous,CA,19.000086,8/13/2014
Arkansas Forestry Commission,1416,Arson,AR,27.12002,8/13/2014
Santa Clara Unit,1252,Equipment Use,CA,19.565332,8/13/2014
Missouri Department of Conservation,1332,Debris Burning,MO,24.420862,8/13/2014
Missouri Department of Conservation,1556,Debris Burning,MO,26.065332,8/13/2014
Elko District Office,1242,Lightning,NV,21.20669,8/13/2014
Rogue River-Siskiyou National Forest,1223,Lightning,OR,13.988245,8/13/2014
Medford District,1215,Lightning,OR,14.4648075,8/13/2014
Oregon Department of Forestry State Headquarters,1230,Equipment Use,OR,15.866175,8/13/2014
Pine Ridge Agency,1557,Smoking,SD,27.964808,8/13/2014
Rosebud Agency,1430,Structure,SD,28.823023,8/13/2014
Boise District,1420,Equipment Use,ID,24.589808,8/13/2014
Boise District,1445,Equipment Use,ID,23.894495,8/13/2014
Deschutes National Forest,1326,Lightning,OR,14.886377,8/13/2014
Deschutes National Forest,1111,Lightning,OR,13.948877,8/13/2014
Willamette National Forest,1140,Lightning,OR,13.326838,8/13/2014
Salmon-Challis National Forest,1230,Lightning,ID,14.902979,8/13/2014
Mt. Hood National Forest,1200,Lightning,OR,16.119898,8/13/2014
Mt. Hood National Forest,1157,Lightning,OR,15.40896,8/13/2014
Oregon Department of Forestry State Headquarters,1245,Debris Burning,OR,15.55752,8/13/2014
Wisconsin Department of Natural Resources,1402,Railroad,WI,22.229395,8/13/2014
Salmon-Challis National Forest,1430,Lightning,ID,19.163355,8/13/2014
Nez Perce - Clearwater National Forests,1315,Powerline,ID,18.23794,8/13/2014
Bitterroot National Forest,1300,Lightning,MT,19.163355,8/13/2014
